"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","0","2","","0"
"0","API Automation","0","User Profile","0","1","Update user profile","0"
"1","API Automation","0","User Profile","0","0","Get user profile","0"
"0","API Automation","0","User Profile","0","1","Delete user","0"
