"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","502","loginUserSuccessfully","Surefire suite","Mon May 25 12:07:13 UTC 2026","passed","Mon May 25 12:07:14 UTC 2026","com.hapifyme.tests.AuthTests","Surefire test","com.hapifyme.tests.AuthTests","loginUserSuccessfully"
"Verify that a user profile can be retrieved","755","getUserProfile","Surefire suite","Mon May 25 12:07:14 UTC 2026","passed","Mon May 25 12:07:15 UTC 2026","com.hapifyme.tests.UserTests","Surefire test","com.hapifyme.tests.UserTests","getUserProfile"
"","6640","registerUser","Surefire suite","Mon May 25 12:07:07 UTC 2026","passed","Mon May 25 12:07:13 UTC 2026","com.hapifyme.tests.AuthTests","Surefire test","com.hapifyme.tests.AuthTests","registerUser"
"Verify that a user can be deleted","844","deleteUserProfile","Surefire suite","Mon May 25 12:07:16 UTC 2026","passed","Mon May 25 12:07:17 UTC 2026","com.hapifyme.tests.UserTests","Surefire test","com.hapifyme.tests.UserTests","deleteUserProfile"
"","497","loginUserUnsuccessfully","Surefire suite","Mon May 25 12:07:14 UTC 2026","passed","Mon May 25 12:07:14 UTC 2026","com.hapifyme.tests.AuthTests","Surefire test","com.hapifyme.tests.AuthTests","loginUserUnsuccessfully"
"Verify that a user profile can be updated","838","updateUserProfile","Surefire suite","Mon May 25 12:07:15 UTC 2026","passed","Mon May 25 12:07:16 UTC 2026","com.hapifyme.tests.UserTests","Surefire test","com.hapifyme.tests.UserTests","updateUserProfile"
